City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wainwright,52.839,-110.8572,-4.1,92,12,3.46,CA,1730646572
1,bredasdorp,-34.5322,20.0403,19.43,54,100,11.76,ZA,1730646573
2,inhambane,-23.865,35.3833,26.99,74,0,6.69,MZ,1730646574
3,port-aux-francais,-49.35,70.2167,5.34,83,20,9.68,TF,1730646575
4,enewetak,11.3474,162.3373,28.14,78,18,1.83,MH,1730646577
5,edinburgh of the seven seas,-37.0676,-12.3116,11.54,64,96,7.05,SH,1730646578
6,stanley,54.868,-1.6985,10.29,89,75,0.51,GB,1730646579
7,blackmans bay,-43.0167,147.3167,12.07,65,100,1.34,AU,1730646580
8,bethel,41.3712,-73.414,7.63,57,0,4.12,US,1730646581
9,korla,41.7597,86.1469,11.04,46,1,1.26,CN,1730646582
10,puerto natales,-51.7236,-72.4875,12.25,58,20,3.6,CL,1730646584
11,cabo san lucas,22.8909,-109.9124,22.64,59,40,9.39,MX,1730646211
12,troy,42.6056,-83.1499,11.48,75,0,5.66,US,1730646455
13,sao raimundo das mangabeiras,-7.0219,-45.4811,38.75,22,10,4.99,BR,1730646589
14,constantia,44.1833,28.65,8.38,33,7,2.62,RO,1730646590
15,adamstown,-25.066,-130.1015,20.29,75,43,4.49,PN,1730646592
16,vernon,50.2581,-119.2691,2.74,92,61,0.89,CA,1730646593
17,kazan,55.7887,49.1221,-1.66,68,81,5.72,RU,1730646351
18,east ballina,-28.8667,153.5833,20.23,90,58,5.7,AU,1730646596
19,iqaluit,63.7506,-68.5145,-6.28,85,94,2.68,CA,1730646598
20,selkirk,50.1436,-96.8845,5.66,94,100,4.02,CA,1730646599
21,longyearbyen,78.2186,15.6401,-1.09,80,75,6.17,SJ,1730646600
22,atafu village,-8.5421,-172.5159,28.09,69,97,3.08,TK,1730646601
23,san patricio,28.017,-97.5169,27.97,67,1,8.52,US,1730646602
24,kavieng,-2.5744,150.7967,27.69,77,35,3.37,PG,1730646603
25,puerto ayora,-0.7393,-90.3518,21.35,67,77,4.75,EC,1730646605
26,charters towers,-20.1,146.2667,20.06,86,0,3.44,AU,1730646606
27,ust-tsilma,65.441,52.1498,-2.19,86,99,4.71,RU,1730646607
28,aldinga beach,-35.2793,138.4604,15.91,74,100,3.32,AU,1730646608
29,tvoroyri,61.5556,-6.8111,10.35,94,100,8.38,FO,1730646609
30,bilibino,68.0546,166.4372,-24.21,96,93,3.26,RU,1730646610
31,sona,45.4388,10.8255,18.81,57,52,1.54,IT,1730646612
32,henryetta,35.4398,-95.9819,16.97,93,100,7.96,US,1730646613
33,carnarvon,-24.8667,113.6333,20.96,75,47,8.0,AU,1730646614
34,papatowai,-46.5619,169.4708,7.8,75,100,2.23,NZ,1730646615
35,port alfred,-33.5906,26.891,21.21,81,93,0.89,ZA,1730646616
36,floro,61.5996,5.0328,8.98,93,40,2.06,NO,1730646617
37,langepas,61.2544,75.2124,2.47,72,98,9.16,RU,1730646619
38,talnakh,69.4865,88.3972,-12.14,86,95,4.14,RU,1730646620
39,moussoro,13.6408,16.4901,33.31,15,90,5.57,TD,1730646621
40,mount pleasant,32.7941,-79.8626,19.99,81,40,5.14,US,1730646622
41,qaqortoq,60.7167,-46.0333,0.08,78,100,1.11,GL,1730646623
42,hasaki,35.7333,140.8333,18.24,59,0,4.88,JP,1730646626
43,wailua homesteads,22.0669,-159.378,24.44,90,20,6.69,US,1730646627
44,grytviken,-54.2811,-36.5092,-0.09,78,89,10.82,GS,1730646628
45,saipan,15.1355,145.701,27.39,89,40,6.69,MP,1730646629
46,laascaanood,8.4774,47.3597,28.97,37,15,2.46,SO,1730646630
47,camminghaburen,53.2097,5.8432,10.56,73,65,1.79,NL,1730646631
48,capo d'orlando,38.1435,14.7305,20.09,73,5,2.12,IT,1730646633
49,tazovsky,67.4667,78.7,-4.65,94,100,11.99,RU,1730646634
50,tsiombe,-25.3,45.4833,24.63,80,2,8.17,MG,1730646635
51,fale old settlement,-9.3852,-171.2468,27.93,74,28,3.45,TK,1730646636
52,hadibu,12.65,54.0333,27.02,79,37,2.6,YE,1730646637
53,conduaga,8.862,117.4893,25.65,88,97,1.31,PH,1730646638
54,port douglas,-16.4833,145.4667,24.43,80,66,5.71,AU,1730646639
55,ar raqqah,35.95,39.0167,19.65,63,42,2.46,SY,1730646641
56,pacific grove,36.6177,-121.9166,12.83,92,20,7.6,US,1730646642
57,lebu,-37.6167,-73.65,13.67,71,100,7.24,CL,1730646643
58,mata-utu,-13.2816,-176.1745,27.56,82,96,4.9,WF,1730646644
59,emerald,-23.5333,148.1667,21.3,66,1,5.11,AU,1730646645
60,saint-pierre,-21.3393,55.4781,24.82,73,0,1.54,RE,1730646646
61,asau,46.4333,26.4,4.25,53,64,0.98,RO,1730646647
62,al artawiyah,26.5053,45.3444,27.87,26,4,2.76,SA,1730646649
63,waitangi,-43.9535,-176.5597,6.57,81,39,1.79,NZ,1730646650
64,ushuaia,-54.8,-68.3,10.83,73,99,2.1,AR,1730646651
65,hirara,24.8,125.2833,26.57,71,99,7.03,JP,1730646652
66,arraial do cabo,-22.9661,-42.0278,26.92,74,40,10.8,BR,1730646653
67,port shepstone,-30.7414,30.455,21.95,88,100,10.07,ZA,1730646654
68,nizhnesortymskiy,62.4397,71.7603,-0.9,80,97,10.9,RU,1730646655
